DissolvedOxygen_Saturation,pH,Temperature,Green Valley Lake,South Twin Lake,Swan Lake
67.04,9.44,21.71,1,0,0
211.41,9.0,27.02,1,0,0
220.43,10.19,27.91,1,0,0
68.49,8.06,16.08,0,0,0
9.77,7.52,24.35,1,0,0
171.28,9.4,27.5,0,0,1
139.01,9.4,25.71,0,0,1
63.27,7.95,16.81,1,0,0
266.42,8.86,28.38,0,0,1
88.67,8.37,23.64,1,0,0
64.65,9.52,25.41,1,0,0
93.06,8.41,16.32,0,0,0
85.95,9.37,22.21,1,0,0
99.78,8.38,21.76,0,0,1
142.78,8.94,22.71,0,0,0
119.34,8.88,24.86,1,0,0
129.14,8.5,26.61,0,0,0
98.57,9.15,26.77,0,0,1
28.25,7.55,24.27,1,0,0
64.87,8.06,22.07,1,0,0
73.86,8.11,24.55,0,0,1
89.27,8.38,15.33,0,0,0
112.02,8.92,26.22,0,1,0
155.19,9.4,27.61,0,0,1
97.36,8.38,19.13,1,0,0
67.97,8.14,18.15,0,0,0
107.26,9.27,25.94,0,0,1
100.28,8.61,23.97,1,0,0
70.03,9.25,20.55,1,0,0
89.57,8.22,18.35,1,0,0
78.04,8.65,22.6,0,1,0
121.53,8.95,23.16,0,0,1
99.93,8.58,21.68,0,0,0
47.49,8.47,24.14,1,0,0
52.76,7.61,17.64,1,0,0
97.52,8.49,21.53,1,0,0
59.03,8.56,25.3,1,0,0
163.7,8.37,23.41,0,0,0
48.4,7.76,23.4,1,0,0
76.85,8.91,18.41,1,0,0
183.48,9.45,28.81,0,0,1
88.87,8.24,19.01,1,0,0
148.1,9.96,26.85,1,0,0
85.29,8.74,23.51,0,1,0
114.68,8.45,19.99,0,0,0
119.28,9.22,25.61,0,0,1
82.09,8.27,23.63,0,1,0
114.66,8.24,24.6,0,0,0
185.6,9.48,26.78,0,0,1
82.19,8.17,22.8,0,0,1
190.74,9.48,28.25,1,0,0
131.58,8.9,24.3,1,0,0
73.16,8.28,23.07,0,1,0
69.17,7.83,24.1,1,0,0
