,Phycocyanin
368,19.43
186,8.62
337,59.2
150,4.59
235,0.32
568,5.72
591,5.42
271,0.37
526,2.04
306,2.94
352,10.04
8,0.28
395,9.29
517,0.9
30,0.2
307,5.05
93,4.37
581,6.07
238,1.21
159,3.03
558,2.1
7,0.34
468,6.42
583,5.04
286,1.29
147,4.8
585,5.62
192,6.2
400,7.46
281,1.06
509,7.06
635,7.86
107,6.59
214,8.66
249,1.73
293,1.13
226,9.88
118,7.63
179,2.01
411,7.05
570,6.59
285,1.02
348,29.38
513,7.01
114,8.62
597,8.91
440,7.59
125,7.78
598,9.35
522,0.25
196,16.11
304,5.57
442,13.46
241,3.17
113,8.0
356,31.46
189,13.84
27,0.26
97,4.7
193,4.49
187,11.71
310,3.21
162,2.76
321,2.95
416,3.17
219,3.92
273,1.07
170,5.43
555,3.58
287,1.1
521,0.28
105,5.77
34,0.18
151,5.24
119,7.44
554,1.73
165,8.89
446,10.18
633,6.74
155,6.03
67,1.91
21,0.26
436,12.29
563,6.03
35,0.25
518,1.7
142,6.08
318,9.1
265,3.98
362,26.55
183,2.14
242,1.98
535,4.8
428,8.81
134,13.71
576,4.03
292,0.85
246,2.63
68,2.26
2,0.29
223,20.71
469,6.03
342,30.99
601,4.48
613,7.78
16,0.41
320,6.38
234,1.84
311,7.61
353,11.7
452,6.63
565,8.47
12,0.33
567,5.63
524,0.85
177,2.15
532,0.89
505,7.48
618,7.48
539,5.28
579,3.74
340,16.73
550,8.25
191,7.34
393,7.56
615,10.3
323,25.22
167,10.83
78,3.46
197,7.93
90,3.68
622,7.06
316,14.31
408,8.36
236,0.67
66,1.63
268,0.94
182,7.53
73,3.3
566,5.37
317,9.82
79,3.64
607,7.7
13,0.38
624,6.95
61,4.1
269,0.98
396,19.68
110,10.51
616,8.24
121,4.59
329,30.94
152,5.3
507,6.23
180,4.11
606,6.81
501,7.92
634,7.06
92,4.98
464,4.32
169,5.24
53,1.5
414,3.09
510,7.13
640,6.4
131,11.35
478,6.47
154,5.26
461,6.02
631,5.38
319,9.62
628,6.2
211,6.96
552,2.5
454,5.04
100,4.2
441,8.33
529,0.26
547,6.55
508,5.93
230,12.87
224,7.53
562,6.16
372,34.72
381,7.54
519,1.15
297,1.64
267,1.64
584,4.93
379,9.09
374,17.7
511,6.95
421,2.91
407,8.81
82,2.66
371,32.21
474,7.53
221,11.26
392,5.99
573,4.71
54,2.21
444,11.35
279,0.56
109,9.3
126,10.14
254,5.81
124,6.81
205,16.64
363,17.5
207,6.21
494,7.5
376,20.93
46,1.14
574,4.91
612,9.32
163,4.63
448,8.43
312,14.27
48,1.0
290,1.52
259,7.39
9,0.29
472,5.76
538,4.22
386,9.15
43,0.7
158,3.93
402,6.16
347,45.32
62,3.79
218,6.3
83,2.87
199,13.41
80,3.59
324,19.86
231,8.55
578,2.54
638,7.04
486,7.03
391,6.03
266,1.5
388,12.12
605,4.89
383,7.84
284,0.76
629,5.14
56,3.01
148,4.36
530,0.32
70,1.71
41,0.81
491,5.09
577,2.71
384,5.63
23,0.29
603,4.41
172,4.88
308,4.43
360,21.81
326,6.22
32,0.17
299,1.38
364,24.47
245,1.98
84,4.21
185,4.13
553,2.2
194,5.04
533,1.31
610,6.59
359,70.18
257,6.27
330,60.39
55,1.91
25,0.29
582,5.84
63,2.11
512,5.93
42,0.94
146,5.88
270,0.83
5,0.31
129,10.81
437,19.0
604,4.2
17,0.39
36,0.32
333,16.65
590,5.59
482,8.53
439,16.73
220,5.1
484,8.25
45,1.19
128,11.81
103,3.58
87,4.33
95,5.37
413,6.68
116,7.64
453,5.02
40,0.61
382,9.05
458,5.44
4,0.61
600,5.42
561,6.29
341,37.22
86,4.2
60,3.64
434,8.46
417,0.21
495,7.53
456,6.1
303,2.49
354,33.52
614,7.92
212,8.72
28,0.22
181,6.52
295,1.48
24,0.31
398,7.79
556,5.15
64,1.71
88,4.17
349,9.31
480,7.13
38,0.34
443,14.81
248,2.06
406,3.89
22,0.28
216,12.68
426,6.86
6,0.36
401,11.74
557,2.53
460,6.14
471,5.18
201,18.89
415,9.36
184,2.48
225,3.85
203,24.92
481,7.34
175,4.69
423,5.48
488,5.28
527,1.63
20,0.29
123,5.0
542,9.57
477,6.67
206,12.55
143,5.86
351,14.6
345,38.51
394,8.95
465,4.78
422,4.8
141,6.11
288,0.64
380,7.37
15,0.36
497,6.88
594,6.54
424,6.05
546,6.43
228,3.76
117,6.87
514,7.14
325,12.66
